System,lambda,lambda_err,psi,psi_err,sy_snum,sy_pnum,pl_orbper,pl_orbper_err,pl_orbsmax,pl_orbsmax_err,pl_rade,pl_rade_err,pl_bmassj,pl_bmassj_err,pl_orbeccen,pl_orbeccen_err,pl_insol,pl_insol_err,pl_eqt,pl_eqt_err,pl_ratdor,pl_ratdor_err,pl_ratror,pl_ratror_err,st_spectype,st_teff,st_teff_err,st_rad,st_rad_err,st_mass,st_mass_err,st_met,st_met_err,st_lum,st_lum_err,st_logg,st_logg_err,st_age,st_age_err,st_vsin,st_vsin_err,st_rotp,st_rotp_err
KELT-17 b,115.9,4.1,116.0,4.0,1,1,3.0801716,5.2500000000000006e-06,0.04881,0.0006299999999999999,17.094,0.7010000000000001,1.31,0.28500000000000003,,,,,2087.0,32.5,6.38,0.18,0.09526,0.000865,A,7454.0,49.0,1.65,0.06,1.64,0.065,-0.018,0.073,0.876,0.0335,4.22,0.02,0.65,0.15,44.2,1.4,,
KELT-19 A b,179.7,3.75,155.0,19.0,2,1,4.6117093,8.8e-06,0.0637,0.0029,21.409,1.233,4.07,4.07,,,2340.0,184.0,1935.0,38.0,7.5,0.19,0.10713,0.00092,A8 V,7500.0,110.0,1.83,0.1,1.62,0.225,-0.12,0.51,0.978,0.0525,4.13,0.03,,,84.8,2.0,,
KELT-20 b,3.9,1.1,5.0,11.0,1,1,3.4741085,1.9e-06,0.0542,0.0017499999999999998,19.515,0.8009999999999999,3.382,3.382,,,4362.5,565.8,2262.0,73.0,7.42,0.13,0.1144,0.000615,A2 V,8720.0,255.0,1.56,0.06,1.76,0.165,-0.29,0.29,1.104,0.0695,4.29,0.02,0.6,0.6,117.4,2.9,,
KELT-21 b,5.6,1.7999999999999998,,,1,1,3.6127647,3.3e-06,0.05224,0.00034500000000000004,17.777,0.4425,3.91,3.91,0.0,0.0,2950.0,169.0,2051.0,29.5,6.86,0.125,0.09952,0.0007199999999999999,A8 V,7598.0,82.5,1.64,0.03,1.46,0.03,-0.405,0.0325,0.905,0.028999999999999998,4.17,0.01,1.6,0.1,146.03,0.48,,
Kepler-8 b,5.0,7.0,,,1,1,3.5224991,7e-07,0.0474,0.00195,15.872,0.6445,0.59,0.125,,,,,1680.0,40.0,6.854,0.0175,0.09575,0.00021,,6213.0,150.0,1.49,0.055,1.21,0.065,-0.055,0.03,,,4.17,0.03,,,,,,
Kepler-9 b,13.0,16.0,,,1,3,19.23891,6e-05,0.143,0.006500000000000001,8.29,0.485,0.13655,0.00566,0.0609,0.00115,,,,,31.3,1.3,0.0776,0.0017000000000000001,,5774.0,60.0,0.96,0.02,1.02,0.035,0.05,0.07,-0.038,0.0265,4.49,0.025,2.0,1.65,,,,
KOI-13 b,59.2,0.05,60.25,0.05,3,1,1.763588,1e-06,0.03641,0.00087,16.948,0.392,9.28,0.16,0.00064,0.00014000000000000001,,,2550.0,80.0,4.5007,0.00395,0.08737,2e-05,,7650.0,250.0,1.74,0.04,1.72,0.1,0.2,0.2,,,4.2,0.5,,,,,,
Kepler-17 b,0.0,15.0,0.0,15.0,1,1,1.4857108,2e-07,0.02591,0.000365,14.68,0.22,2.45,0.11,0.011,0.011,,,1570.0,200.0,5.48,0.02,0.13031,0.0002,,5781.0,85.0,1.01,1.01,1.04,1.04,0.26,0.1,0.012,0.012,4.45,4.45,,,,,,
Kepler-25 c,0.9,7.050000000000001,24.1,9.295,2,3,12.7207,0.000105,,,5.217,0.0675,0.0479,0.0046,0.0061,0.0045000000000000005,,,,,,,0.03637,0.00012,,6270.0,79.0,1.32,0.015,1.17,0.03,,,,,,,,,,,,
Kepler-30 b,4.0,10.0,,,1,3,29.33434,0.00815,0.18,0.18,3.9,0.2,0.036,0.004,0.042,0.003,,,,,,,,,,5498.0,54.0,0.95,0.12,0.99,0.08,0.18,0.27,,,4.77,0.23,2.0,0.8,,,,
