sy_snum,sy_pnum,pl_orbper,pl_orbper_err,pl_orbsmax,pl_orbsmax_err,pl_rade,pl_rade_err,pl_bmassj,pl_bmassj_err,pl_orbeccen,pl_orbeccen_err,pl_ratdor,pl_ratdor_err,pl_ratror,pl_ratror_err,st_teff,st_teff_err,st_rad,st_rad_err,st_mass,st_mass_err,st_met,st_met_err,st_logg,st_logg_err,st_age,st_age_err,st_vsin,st_vsin_err,Obliquity,Obliquity_err
3,1,2.77596,3e-06,0.0413,0.0004,14.448,0.74,4.193,0.094,0.036,0.004,7.17,0.28,0.1071,0.0014,6158.0,80.0,1.24,0.05,1.22,0.04,0.17,0.08,4.34,0.03,2.0,0.8,3.5,0.5,2.0,50.5
1,2,10.33852,9e-06,,,11.769,0.448,0.58,0.06,0.35,0.01,22.72,0.68,,,5246.0,80.0,0.87,0.04,0.99,0.15,0.0,0.0,4.53,0.02,,,,,27.5,6.7
1,1,5.508023,6e-06,0.0559,0.0007,11.153,0.583,0.197,0.013,0.084,0.048,16.04,0.75,0.1365,0.0015,4803.0,80.0,0.75,0.04,0.77,0.03,0.1,0.08,4.57,0.04,12.4,5.4,0.5,0.5,132.0,15.0
1,1,2.875317,4e-06,0.0361,0.0005,9.718,0.37,7.246,0.187,0.015,0.005,11.17,0.29,0.1284,0.0016,4595.0,80.0,0.69,0.02,0.76,0.03,0.35,0.08,4.63,0.02,6.7,4.75,2.1,0.5,36.0,11.0
1,1,4.12448,7e-06,,,12.442,1.793,4.87,1.57,0.23,0.02,9.65,0.74,,,5588.0,80.0,1.21,0.17,1.24,0.6,0.01,0.01,4.33,0.06,,,,,0.7,12.5
2,1,3.21222,9e-06,,,12.89,2.13,2.47,0.32,0.02,0.01,8.58,0.39,,,5302.0,80.0,1.11,0.05,1.13,0.22,0.24,0.24,4.36,0.04,,,,,24.0,18.0
1,1,1.212884,2e-06,0.0232,0.0002,15.334,1.009,2.09,0.111,0.106,0.044,4.14,0.23,0.1169,0.0012,5905.0,80.0,1.2,0.07,1.13,0.04,0.15,0.04,4.33,0.05,4.0,1.0,8.1,0.5,15.0,22.0
2,1,3.35524,7e-06,,,14.572,2.354,0.75,0.25,0.07,0.02,7.61,0.41,,,6373.0,80.0,1.38,0.22,1.37,0.69,-0.16,0.16,4.27,0.04,,,,,20.0,16.0
2,1,3.039577,5.5e-06,0.04,0.0008,11.43,0.7250000000000001,0.62,0.03,0.0,0.0,9.804,0.34,0.12,0.008,5316.0,104.7,0.86,0.045,0.92,0.11,0.3,0.03,4.53,0.07500000000000001,,,,,24.2,60.25
2,1,5.72319,4.9e-05,,,13.115,1.457,0.88,0.25,0.09,0.05,11.74,1.02,,,6087.0,88.0,1.3,0.14,1.45,0.6,0.21,0.21,4.34,0.06,,,,,26.0,16.0
