pl_name,default_flag,sy_snum,sy_pnum,discoverymethod,tran_flag,pl_controv_flag,cb_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,rowupdate
OGLE-TR-10 b,1,1,1,Transit,1,0,0,<a refstr=TORRES_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...677.1324T/abstract target=ref> Torres et al. 2008 </a>,3.101278,,,0,0.0434,0.0013,-0.0015,0,14.011,1.569,-1.345,0,0.62,0.14,-0.14,0,,,,,,,,,,,,,,,,,,,,,<a refstr=TORRES_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...677.1324T/abstract target=ref> Torres et al. 2008 </a>,,5950.0,130.0,,0,1.17,0.13,,0,1.14,0.12,,0,,,,,0.188,0.126,,0,,,,,,,,,,,,,,,,,2014-05-14
KOI-13 b,1,3,1,Transit,1,0,0,<a refstr=ESTEVES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804..150E/abstract target=ref>Esteves et al. 2015</a>,1.763588,1e-06,-1e-06,0,0.03641,0.00087,-0.00087,0,16.948,0.392,-0.392,0,9.28,0.16,-0.16,0,0.00064,0.00012,-0.00016,0,,,,,2550.0,80.0,-80.0,0,4.5007,0.0039,-0.004,0,0.08737,2e-05,-2e-05,0,<a refstr=ESTEVES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804..150E/abstract target=ref>Esteves et al. 2015</a>,,7650.0,250.0,-250.0,0,1.74,0.04,-0.04,0,1.72,0.1,-0.1,0,0.2,0.2,-0.2,0,,,,,4.2,0.5,-0.5,0,,,,,,,,,,,,,2015-10-07
KELT-7 b,1,1,1,Transit,1,0,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2.73477,4e-06,-4e-06,0,,,,,17.934,0.673,-0.673,0,1.39,0.22,-0.22,0,0.0,,,0,,,,,,,,,5.5,0.17,-0.17,0,,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6768.0,7.0,-7.0,0,1.81,0.07,-0.07,0,1.76,0.25,-0.25,0,0.0,,,0,,,,,4.5,,,0,,,,,,,,,,,,,2018-04-25
HATS-61 b,1,1,1,Transit,1,0,0,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,7.817953,2.4e-05,-2.4e-05,0,0.07908,0.00033,-0.00033,0,13.395,0.751,-0.751,0,3.4,0.14,-0.14,0,0.092,,,1,374.2,8.7,-8.5,0,1226.1,7.3,-7.3,0,10.23,0.14,-0.14,0,0.0738,0.004,-0.004,0,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,,5542.0,21.0,-21.0,0,1.66,0.02,-0.02,0,1.08,0.01,-0.01,0,0.247,0.037,-0.037,0,0.369,0.012,-0.012,0,4.03,0.01,-0.01,0,8.9,0.31,-0.41,0,3.52,0.42,-0.42,0,,,,,2024-07-12
HATS-63 b,1,1,1,Transit,1,0,0,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,3.0566527,4.9e-06,-4.9e-06,0,0.04026,0.00028,-0.00028,0,13.529,0.437,-0.437,0,0.96,0.12,-0.12,0,0.136,,,1,634.1,16.3,-15.9,0,1398.3,9.0,-9.0,0,8.09,0.12,-0.12,0,0.1159,0.0032,-0.0032,0,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,,5627.0,18.0,-18.0,0,1.07,0.01,-0.01,0,0.93,0.02,-0.02,0,0.081,0.038,-0.038,0,0.012,0.009,-0.009,0,4.35,0.01,-0.01,0,10.3,1.1,-1.1,0,1.77,0.45,-0.45,0,,,,,2024-07-12
HATS-18 b,1,1,1,Transit,1,0,0,<a refstr=CHAKRABARTY__AMP__SENGUPTA_2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...39C/abstract target=ref>Chakrabarty &amp; Sengupta 2019</a>,0.83784,4.7e-07,-4.7e-07,0,0.0174,0.00098,-0.00098,0,14.897,0.841,-0.841,0,1.9795,0.076,-0.076,0,,,,,,,,,2069.48,45.0,-45.0,0,3.658,0.008,-0.008,0,0.132,0.0004,-0.0004,0,<a refstr=CHAKRABARTY__AMP__SENGUPTA_2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...39C/abstract target=ref>Chakrabarty &amp; Sengupta 2019</a>,,5600.0,120.0,-120.0,0,1.02,0.06,-0.03,0,1.04,0.05,-0.05,0,,,,,,,,,,,,,,,,,,,,,,,,,2019-07-08
HD 108236 c,1,1,5,Transit,1,0,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,6.203449,4.9e-05,-4.6e-05,0,0.062,0.0012,-0.0012,0,2.071,0.052,-0.052,0,,,,,0.034,0.042,-0.025,0,,,,,,,,,,,,,,,,,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,,5660.0,61.0,-61.0,0,0.88,0.01,-0.01,0,0.87,0.05,-0.05,0,-0.28,0.04,-0.04,0,-0.15,0.028,-0.03,0,4.49,0.11,-0.11,0,6.7,4.0,-5.1,0,,,,,,,,,2021-01-21
TOI-1224 b,1,1,2,Transit,1,0,0,<a refstr=THAO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...41T/abstract target=ref>Thao et al. 2024</a>,4.1782745,2.2e-06,-2.1e-06,0,0.0355,0.0017,-0.0034,0,2.104,0.094,-0.091,0,,,,,,,,,,,,,541.0,26.0,-14.0,0,18.9,0.64,-2.0,0,0.0478,0.0013,-0.0012,0,<a refstr=THAO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...41T/abstract target=ref>Thao et al. 2024</a>,,3326.0,66.0,-66.0,0,0.4,0.01,-0.01,0,0.4,0.01,-0.01,0,,,,,-1.697,0.009,-0.009,0,,,,,0.21,0.027,-0.027,0,22.1,1.2,-1.2,0,1.23,,,0,2024-07-12
TOI-1224 c,1,1,2,Transit,1,0,0,<a refstr=THAO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...41T/abstract target=ref>Thao et al. 2024</a>,17.945466,1.2e-05,-1.2e-05,0,,,,,2.884,0.098,-0.098,0,,,,,0.0,,,0,,,,,,,,,,,,,0.065,0.001,-0.001,0,<a refstr=THAO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...41T/abstract target=ref>Thao et al. 2024</a>,,3326.0,66.0,-66.0,0,0.4,0.01,-0.01,0,0.4,0.01,-0.01,0,,,,,-1.697,0.009,-0.009,0,,,,,0.21,0.027,-0.027,0,22.1,1.2,-1.2,0,1.23,,,0,2024-07-12
WASP-76 b,1,2,1,Transit,1,0,0,<a refstr=EHRENREICH_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020Natur.580..597E/abstract target=ref>Ehrenreich et al. 2020</a>,1.80988198,6.4e-07,-5.6e-07,0,0.033,0.0002,-0.0002,0,20.781,0.863,-0.852,0,0.894,0.014,-0.013,0,0.0,,,0,4104.0,896.0,-896.0,0,2228.0,122.0,-122.0,0,4.08,0.02,-0.06,0,0.10852,0.00096,-0.00072,0,<a refstr=EHRENREICH_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020Natur.580..597E/abstract target=ref>Ehrenreich et al. 2020</a>,F7,6329.0,65.0,-65.0,0,1.76,0.07,-0.07,0,1.46,0.02,-0.02,0,0.366,0.053,-0.053,0,,,,,4.2,0.11,-0.11,0,1.816,0.274,-0.274,0,1.48,0.28,-0.28,0,,,,,2024-07-12
TOI-5704 b,1,1,1,Transit,1,0,0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230109865M/abstract target=ref>Mistry et al. 2023</a>,3.771116,1.15e-05,-1.07e-05,0,,,,,3.227,0.187,-0.14,0,,,,,,,,,,,,,949.07,,,0,11.695,1.048,-2.486,0,0.0389,0.0023,-0.0017,0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230109865M/abstract target=ref>Mistry et al. 2023</a>,,4590.0,126.0,-126.0,0,0.76,0.06,-0.06,0,0.73,0.08,-0.08,0,0.428,0.1,-0.1,0,,,,,4.54,0.1,-0.1,0,,,,,,,,,,,,,2023-05-26
HD 23472 d,1,1,5,Transit,1,0,0,<a refstr=BARROS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220913345B/abstract target=ref>Barros et al. 2022</a>,3.97664,3e-05,-4.4e-05,0,0.04298,0.00063,-0.00065,0,0.75,0.067,-0.057,0,0.00173,0.00066,-0.00063,0,0.07,0.05,-0.047,0,117.0,13.0,-11.0,0,909.0,35.0,-32.0,0,13.29,0.79,-0.78,0,0.00975,0.00077,-0.00072,0,<a refstr=BARROS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220913345B/abstract target=ref>Barros et al. 2022</a>,K4 V,4684.0,99.0,-99.0,0,0.71,0.02,-0.02,0,0.67,0.03,-0.03,0,-0.2,0.05,-0.05,0,-0.625,0.027,-0.028,0,4.53,0.08,-0.08,0,,,,,1.45,0.17,-0.17,0,40.1,1.0,-0.87,0,2022-10-03
TOI-672 b,1,1,1,Transit,1,0,0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230109865M/abstract target=ref>Mistry et al. 2023</a>,3.633575,1e-06,-1e-06,0,,,,,5.26,0.083,-0.099,0,,,,,,,,,,,,,676.15,,,0,15.503,1.055,-0.934,0,0.0885,0.0014,-0.0017,0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230109865M/abstract target=ref>Mistry et al. 2023</a>,,3765.0,65.0,-65.0,0,0.54,0.02,-0.02,0,0.54,0.02,-0.02,0,-0.71,0.625,-0.625,0,,,,,4.7,0.01,-0.01,0,,,,,,,,,,,,,2023-05-26
TOI-199 b,1,1,2,Transit,1,0,0,<a refstr=HOBSON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230914915H/abstract target=ref>Hobson et al. 2023</a>,104.854,0.001,-0.002,0,0.4254,0.002,-0.002,0,9.079,0.056,-0.056,0,0.17,0.02,-0.02,0,0.09,0.01,-0.02,0,,,,,,,,,,,,,,,,,<a refstr=HOBSON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230914915H/abstract target=ref>Hobson et al. 2023</a>,G9 V,5255.0,12.0,-10.0,0,0.82,0.0,-0.0,0,0.94,0.0,-0.01,0,0.22,0.03,-0.03,0,-0.338,0.005,-0.003,0,4.58,0.0,-0.01,0,0.8,1.2,-0.6,0,0.5,0.6,-0.6,0,,,,,2023-10-09
KELT-18 b,1,2,1,Transit,1,0,0,<a refstr=MCLEOD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..263M/abstract target=ref>McLeod et al. 2017</a>,2.8717518,2.8e-06,-2.8e-06,0,0.0455,0.00067,-0.00069,0,17.598,0.471,-0.404,0,1.18,0.11,-0.11,0,0.0,,,0,3152.0,242.0,-220.0,0,2085.0,39.0,-38.0,0,5.138,0.038,-0.078,0,0.08462,0.00091,-0.00091,0,<a refstr=MCLEOD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..263M/abstract target=ref>McLeod et al. 2017</a>,F4 V,6670.0,120.0,-120.0,0,1.91,0.04,-0.04,0,1.52,0.07,-0.07,0,0.09,0.13,-0.13,0,0.813,0.041,-0.041,0,4.06,0.01,-0.01,0,1.9,0.2,-0.2,0,12.3,0.3,-0.3,0,,,,,2017-04-24
TOI-2096 c,1,1,2,Transit,1,0,0,<a refstr=POZUELOS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230308174P/abstract target=ref>Pozuelos et al. 2023</a>,6.38784,1.2e-05,-1.2e-05,0,0.04,0.002,-0.002,0,1.914,0.095,-0.095,0,,,,,0.1,0.17,-0.06,0,3.7,0.1,-0.2,0,349.0,10.0,-9.0,0,,,,,0.0747,0.0012,-0.0011,0,<a refstr=POZUELOS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230308174P/abstract target=ref>Pozuelos et al. 2023</a>,M4,3300.0,50.0,-50.0,0,0.23,0.01,-0.01,0,0.23,0.01,-0.01,0,-0.03,0.2,-0.2,0,-2.228,0.005,-0.005,0,5.05,0.05,-0.05,0,4.0,,,-1,,,,,,,,,2023-03-28
TOI-4087 b,1,1,1,Transit,1,0,0,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,3.1774835,9.4e-07,-9.4e-07,0,0.04469,0.00048,-0.00054,0,13.047,0.28,-0.269,0,0.73,0.14,-0.14,0,0.0,,,0,753.9,41.1,-33.8,0,1458.0,20.0,-17.0,0,8.63,0.14,-0.14,0,,,,,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,,6060.0,74.0,-67.0,0,1.11,0.02,-0.02,0,1.18,0.04,-0.04,0,0.237,0.079,-0.079,0,0.176,0.025,-0.02,0,4.42,0.01,-0.02,0,0.8,1.2,-0.6,0,,,,,,,,,2023-02-27
Kepler-370 c,1,1,2,Transit,1,0,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,19.02293,0.000177,-0.000177,0,0.14,,,0,1.91,0.89,-0.89,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5852.0,200.0,-200.0,0,0.9,0.42,-0.42,0,,,,,,,,,,,,,4.53,0.3,-0.3,0,,,,,,,,,,,,,2014-05-14
Kepler-400 b,1,1,2,Transit,1,0,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,9.024389,3.4e-05,-3.4e-05,0,0.087,,,0,1.65,0.3,-0.3,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5886.0,100.0,-100.0,0,1.15,0.21,-0.21,0,,,,,,,,,,,,,4.35,0.15,-0.15,0,,,,,,,,,,,,,2014-05-14
Kepler-221 b,1,1,4,Transit,1,0,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,2.795906,4e-06,-4e-06,0,0.037,,,0,1.71,0.17,-0.17,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5243.0,100.0,-100.0,0,0.82,0.07,-0.07,0,,,,,,,,,,,,,4.54,0.15,-0.15,0,,,,,,,,,,,,,2014-05-14
Kepler-367 c,1,1,2,Transit,1,0,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,53.578637,0.000382,-0.000382,0,0.253,,,0,1.2,0.16,-0.16,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,4710.0,100.0,-100.0,0,0.69,0.04,-0.04,0,,,,,,,,,,,,,4.63,0.15,-0.15,0,,,,,,,,,,,,,2014-05-14
Kepler-393 c,1,1,2,Transit,1,0,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,14.613612,0.000231,-0.000231,0,0.124,,,0,1.33,0.31,-0.31,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,6189.0,100.0,-100.0,0,1.38,0.26,-0.26,0,,,,,,,,,,,,,4.23,0.15,-0.15,0,,,,,,,,,,,,,2014-05-14
Kepler-304 c,1,1,4,Transit,1,0,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,5.315946,7e-06,-7e-06,0,0.054,,,0,2.17,0.15,-0.15,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,4731.0,100.0,-100.0,0,0.69,0.04,-0.04,0,,,,,,,,,,,,,4.63,0.15,-0.15,0,,,,,,,,,,,,,2014-05-14
Kepler-360 b,1,1,2,Transit,1,0,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,3.289672,1.2e-05,-1.2e-05,0,0.044,,,0,1.65,0.78,-0.78,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,6053.0,200.0,-200.0,0,1.06,0.5,-0.5,0,,,,,,,,,,,,,4.42,0.3,-0.3,0,,,,,,,,,,,,,2014-05-14
Kepler-243 c,1,1,2,Transit,1,0,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,20.026218,0.000163,-0.000163,0,0.142,,,0,1.99,0.97,-0.97,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5228.0,200.0,-200.0,0,0.84,0.4,-0.4,0,,,,,,,,,,,,,4.57,0.3,-0.3,0,,,,,,,,,,,,,2014-05-14
Kepler-261 c,1,1,2,Transit,1,0,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,24.570858,6.9e-05,-6.9e-05,0,0.156,,,0,2.0,0.14,-0.14,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5098.0,100.0,-100.0,0,0.79,0.05,-0.05,0,,,,,,,,,,,,,4.56,0.15,-0.15,0,,,,,,,,,,,,,2014-05-14
Kepler-327 d,1,1,3,Transit,1,0,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,13.969457,3.1e-05,-3.1e-05,0,0.09,,,0,1.73,0.1,-0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,3799.0,100.0,-100.0,0,0.49,0.02,-0.02,0,,,,,,,,,,,,,4.76,0.1,-0.1,0,,,,,,,,,,,,,2014-05-14
Kepler-136 b,1,2,2,Transit,1,0,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,11.5789,3e-05,-3e-05,0,0.106,,,0,2.05,0.38,-0.38,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,6165.0,100.0,-100.0,0,1.35,0.25,-0.25,0,,,,,,,,,,,,,4.24,0.15,-0.15,0,,,,,,,,,,,,,2014-05-14
Kepler-122 d,1,1,5,Transit,1,0,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,21.587475,0.000164,-0.000164,0,0.155,,,0,2.2,0.44,-0.44,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,6050.0,137.0,-137.0,0,1.22,0.24,-0.24,0,,,,,,,,,,,,,4.3,0.15,-0.15,0,,,,,,,,,,,,,2014-05-14
Kepler-157 c,1,1,3,Transit,1,0,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,13.5405,4.9e-05,-4.9e-05,0,0.11,,,0,2.24,0.43,-0.43,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5774.0,125.0,-125.0,0,1.04,0.2,-0.2,0,,,,,,,,,,,,,4.39,0.15,-0.15,0,,,,,,,,,,,,,2014-05-14
Kepler-147 c,1,1,2,Transit,1,0,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,33.416423,0.000416,-0.000416,0,0.216,,,0,2.43,0.49,-0.49,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,6012.0,100.0,-100.0,0,1.47,0.29,-0.29,0,,,,,,,,,,,,,4.18,0.15,-0.15,0,,,,,,,,,,,,,2014-05-14
Kepler-239 b,1,1,2,Transit,1,0,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,11.763051,3.4e-05,-3.4e-05,0,0.095,,,0,2.33,0.15,-0.15,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,4914.0,100.0,-100.0,0,0.76,0.04,-0.04,0,,,,,,,,,,,,,4.58,0.15,-0.15,0,,,,,,,,,,,,,2014-05-14
Kepler-200 b,1,1,2,Transit,1,0,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,8.594805,3.6e-05,-3.6e-05,0,0.08,,,0,2.13,0.41,-0.41,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5678.0,100.0,-100.0,0,0.94,0.16,-0.16,0,,,,,,,,,,,,,4.45,0.15,-0.15,0,,,,,,,,,,,,,2014-05-14
Kepler-243 b,1,1,2,Transit,1,0,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,5.715442,1.1e-05,-1.1e-05,0,0.062,,,0,2.45,1.16,-1.16,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5228.0,200.0,-200.0,0,0.84,0.4,-0.4,0,,,,,,,,,,,,,4.57,0.3,-0.3,0,,,,,,,,,,,,,2014-05-14
Kepler-254 b,1,1,3,Transit,1,0,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,5.826662,1e-05,-1e-05,0,0.064,,,0,3.87,1.85,-1.85,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5957.0,200.0,-200.0,0,0.91,0.43,-0.43,0,,,,,,,,,,,,,4.52,0.3,-0.3,0,,,,,,,,,,,,,2014-05-14
Kepler-172 c,1,1,4,Transit,1,0,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,6.388996,2e-05,-2e-05,0,0.068,,,0,2.86,0.53,-0.53,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5526.0,100.0,-100.0,0,1.08,0.19,-0.19,0,,,,,,,,,,,,,4.38,0.15,-0.15,0,,,,,,,,,,,,,2014-05-14
