pl_name,default_flag,sy_snum,sy_pnum,discoverymethod,tran_flag,pl_controv_flag,cb_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,rowupdate
Kepler-272 c,1,1,3,Transit,1,0,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,6.057342,3.7e-05,-3.7e-05,0,0.061,,,0,1.79,0.96,-0.96,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5297.0,200.0,-200.0,0,0.93,0.5,-0.5,0,,,,,,,,,,,,,4.43,0.3,-0.3,0,,,,,,,,,,,,,2014-05-14
Kepler-751 b,1,1,1,Transit,1,0,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,17.44490636,4.2e-05,-4.2e-05,0,,,,,2.46,0.23,-0.18,0,,,,,,,,,,,,,,,,,,,,,0.02661,0.00055,-0.00057,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5387.0,131.81,-138.29,0,0.84,0.08,-0.06,0,0.87,0.05,-0.06,0,-0.06,0.156,-0.183,0,,,,,4.54,0.04,-0.08,0,4.47,6.1,-2.78,0,,,,,,,,,2016-05-06
Kepler-1051 b,1,1,1,Transit,1,0,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,25.96200249,8.634e-05,-8.634e-05,0,,,,,3.4,1.23,-0.67,0,,,,,,,,,,,,,,,,,,,,,0.01778,0.0005,-0.0002,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6675.0,270.59,-222.6,0,1.73,0.62,-0.34,0,1.43,0.22,-0.16,0,0.04,0.13,-0.166,0,,,,,4.12,0.14,-0.21,0,1.74,0.617,-0.404,0,,,,,,,,,2016-05-06
Kepler-617 b,1,1,1,Transit,1,0,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,1.68269615,1.11e-06,-1.11e-06,0,,,,,1.32,0.07,-0.07,0,,,,,,,,,,,,,,,,,,,,,0.02476,0.00063,-0.00032,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,3712.0,33.92,-33.35,0,0.48,0.02,-0.03,0,0.51,0.02,-0.03,0,-0.07,0.077,-0.082,0,,,,,4.77,0.02,-0.02,0,3.98,5.48,-2.27,0,,,,,,,,,2016-05-06
Kepler-226 c,1,1,3,Transit,1,0,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,5.349555,1.4e-05,-1.4e-05,0,0.058,,,0,2.27,0.9,-0.9,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5571.0,200.0,-200.0,0,0.8,0.32,-0.32,0,,,,,,,,,,,,,4.59,0.3,-0.3,0,,,,,,,,,,,,,2014-05-14
Kepler-844 b,1,1,1,Transit,1,0,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,2.61302086,6.24e-06,-6.24e-06,0,,,,,1.68,0.07,-0.24,0,,,,,,,,,,,,,,,,,,,,,0.02704,7e-05,-0.00363,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4128.0,46.09,-46.95,0,0.57,0.03,-0.03,0,0.59,0.03,-0.04,0,-0.24,0.12,-0.142,0,,,,,4.7,0.02,-0.02,0,3.8,4.89,-2.1,0,,,,,,,,,2016-05-06
Kepler-843 b,1,1,1,Transit,1,0,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,2.05387982,2.9e-06,-2.9e-06,0,,,,,2.59,0.61,-0.25,0,,,,,,,,,,,,,,,,,,,,,0.02342,0.00069,-0.0003,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5830.0,106.99,-143.16,0,1.03,0.24,-0.1,0,1.02,0.06,-0.06,0,0.05,0.131,-0.162,0,,,,,4.42,0.07,-0.17,0,4.17,2.94,-2.41,0,,,,,,,,,2016-05-06
Kepler-178 d,1,1,3,Transit,1,0,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,96.678988,0.000702,-0.000702,0,0.397,,,0,3.95,1.7,-1.7,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5676.0,200.0,-200.0,0,1.07,0.45,-0.45,0,,,,,,,,,,,,,4.33,0.3,-0.3,0,,,,,,,,,,,,,2014-05-14
Kepler-837 b,1,1,1,Transit,1,0,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,16.56059504,4.293e-05,-4.293e-05,0,,,,,2.56,0.22,-0.43,0,,,,,,,,,,,,,,,,,,,,,0.02902,8e-05,-0.00429,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5403.0,58.96,-58.52,0,0.81,0.07,-0.07,0,0.85,0.05,-0.06,0,-0.18,0.162,-0.204,0,,,,,4.56,0.04,-0.08,0,3.98,6.07,-2.42,0,,,,,,,,,2016-05-06
Kepler-161 b,1,1,2,Transit,1,0,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,4.921355,6e-06,-6e-06,0,0.054,,,0,2.12,0.14,-0.14,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5078.0,100.0,-100.0,0,0.81,0.05,-0.05,0,,,,,,,,,,,,,4.55,0.15,-0.15,0,,,,,,,,,,,,,2014-05-14
