System,lambda,lambda_err,psi,psi_err,Ephemeris_reference,sy_snum,sy_pnum,cb_flag,pl_refname,pl_orbper,pl_orbper_err,pl_orbsmax,pl_orbsmax_err,pl_rade,pl_rade_err,pl_bmassj,pl_bmassj_err,pl_orbeccen,pl_orbeccen_err,pl_insol,pl_insol_err,pl_eqt,pl_eqt_err,pl_ratdor,pl_ratdor_err,pl_ratror,pl_ratror_err,st_refname,st_spectype,st_teff,st_teff_err,st_rad,st_rad_err,st_mass,st_mass_err,st_met,st_met_err,st_lum,st_lum_err,st_logg,st_logg_err,st_age,st_age_err,st_vsin,st_vsin_err,st_rotp,st_rotp_err,rowupdate
HAT-P-11 b,133.9,7.7,104.9,8.85,2023A+A...669A..63B,1,2,0,<a refstr=YEE_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..255Y/abstract target=ref>Yee et al. 2018</a>,4.88780244,4.88780244,0.05254,0.00065,4.36,0.06,0.07362,0.00472,0.218,0.0325,,,,,,,,,<a refstr=YEE_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..255Y/abstract target=ref>Yee et al. 2018</a>,,4780.0,50.0,0.68,0.01,0.81,0.025,0.31,0.05,,,,,6.5,5.0,1.5,1.5,29.2,29.2,2019-01-28
HAT-P-12 b,54.0,27.0,,,2018A+A...613A..41M,1,1,0,<a refstr=HARTMAN_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...706..785H/abstract target=ref> Hartman et al. 2009 </a>,3.2130598,2.1e-06,0.0384,0.0003,10.749,0.28,0.211,0.012,0.0,0.0,,,963.0,16.0,11.77,0.18,0.1406,0.0013,<a refstr=HARTMAN_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...706..785H/abstract target=ref> Hartman et al. 2009 </a>,K4,4650.0,60.0,0.7,0.015,0.73,0.02,-0.29,0.05,-0.678,0.03,4.61,0.01,2.5,2.0,0.5,0.4,,,2014-05-14
HAT-P-13 b,1.9,8.6,,,2010ApJ...718..575W,1,2,0,<a refstr=WINN_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...718..575W/abstract target=ref> Winn et al. 2010 </a>,2.91625,1.5e-05,,,14.258,0.729,0.851,0.038,0.0133,0.0041,,,,,5.8928,0.25045,0.08389,0.00081,<a refstr=WINN_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...718..575W/abstract target=ref> Winn et al. 2010 </a>,,5653.0,90.0,,,,,,,,,,,,,1.66,0.37,,,2014-10-15
HAT-P-14 b,170.9,5.1,,,2011AJ....141...63W,2,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,4.62767,5e-06,,,15.917,1.345,3.44,0.63,0.11,0.01,,,,,8.9,0.36,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6600.0,90.0,1.82,0.15,2.65,0.73,0.11,0.11,,,4.25,0.03,,,,,,,2018-04-25
HAT-P-15 b,13.0,6.0,,,2022A+A...664A.162M,1,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,10.8635,2.7e-05,,,11.882,0.785,1.94,0.3,0.19,0.02,,,,,19.25,0.77,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5568.0,90.0,1.07,0.07,1.0,0.23,0.22,0.22,,,4.38,0.03,,,,,,,2018-04-25
HAT-P-16 b,2.0,50.5,,,2012ApJ...757...18A,3,1,0,<a refstr=BUCHHAVE_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...720.1118B/abstract target=ref> Buchhave et al. 2010 </a>,2.77596,3e-06,0.0413,0.0004,14.448,0.74,4.193,0.094,0.036,0.004,,,1626.0,40.0,7.17,0.28,0.1071,0.0014,<a refstr=BUCHHAVE_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...720.1118B/abstract target=ref> Buchhave et al. 2010 </a>,F8,6158.0,80.0,1.24,0.05,1.22,0.04,0.17,0.08,0.294,0.0485,4.34,0.03,2.0,0.8,3.5,0.5,,,2014-05-14
HAT-P-17 b,27.5,6.7,,,2022A+A...664A.162M,1,2,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,10.33852,9e-06,,,11.769,0.448,0.58,0.06,0.35,0.01,,,,,22.72,0.68,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5246.0,80.0,0.87,0.04,0.99,0.15,0.0,0.0,,,4.53,0.02,,,,,,,2018-04-25
HAT-P-18 b,132.0,15.0,,,2014A+A...564L..13E,1,1,0,<a refstr=HARTMAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726...52H/abstract target=ref> Hartman et al. 2011 </a>,5.508023,6e-06,0.0559,0.0007,11.153,0.583,0.197,0.013,0.084,0.048,,,852.0,28.0,16.04,0.75,0.1365,0.0015,<a refstr=HARTMAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726...52H/abstract target=ref> Hartman et al. 2011 </a>,K2,4803.0,80.0,0.75,0.04,0.77,0.03,0.1,0.08,-0.569,0.065,4.57,0.04,12.4,5.4,0.5,0.5,,,2014-05-14
HAT-P-20 b,8.0,6.9,36.0,11.0,2017A+A...601A..53E,1,1,0,<a refstr=BAKOS_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1008.3388B/abstract target=ref> Bakos et al. 2010 </a>,2.875317,4e-06,0.0361,0.0005,9.718,0.37,7.246,0.187,0.015,0.005,,,970.0,23.0,11.17,0.29,0.1284,0.0016,<a refstr=BAKOS_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1008.3388B/abstract target=ref> Bakos et al. 2010 </a>,K3,4595.0,80.0,0.69,0.02,0.76,0.03,0.35,0.08,-0.721,0.0455,4.63,0.02,6.7,4.75,2.1,0.5,,,2014-05-14
HAT-P-21 b,0.7,12.5,,,2022A+A...664A.162M,1,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,4.12448,7e-06,,,12.442,1.793,4.87,1.57,0.23,0.02,,,,,9.65,0.74,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5588.0,80.0,1.21,0.17,1.24,0.6,0.01,0.01,,,4.33,0.06,,,,,,,2018-04-25
HAT-P-22 b,2.1,3.0,24.0,18.0,2018A+A...613A..41M,2,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,3.21222,9e-06,,,12.89,2.13,2.47,0.32,0.02,0.01,,,,,8.58,0.39,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5302.0,80.0,1.11,0.05,1.13,0.22,0.24,0.24,,,4.36,0.04,,,,,,,2018-04-25
HAT-P-23 b,15.0,22.0,,,2011A+A...533A.113M,1,1,0,<a refstr=BAKOS_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1008.3388B/abstract target=ref> Bakos et al. 2010 </a>,1.212884,2e-06,0.0232,0.0002,15.334,1.009,2.09,0.111,0.106,0.044,,,2056.0,66.0,4.14,0.23,0.1169,0.0012,<a refstr=BAKOS_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1008.3388B/abstract target=ref> Bakos et al. 2010 </a>,G0,5905.0,80.0,1.2,0.07,1.13,0.04,0.15,0.04,0.199,0.0635,4.33,0.05,4.0,1.0,8.1,0.5,,,2018-04-25
HAT-P-24 b,20.0,16.0,,,2012ApJ...757...18A,2,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,3.35524,7e-06,,,14.572,2.354,0.75,0.25,0.07,0.02,,,,,7.61,0.41,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6373.0,80.0,1.38,0.22,1.37,0.69,-0.16,0.16,,,4.27,0.04,,,,,,,2018-04-25
HAT-P-27 b,24.2,60.25,,,2012ApJ...760..139B,2,1,0,<a refstr=BROWN_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...760..139B/abstract target=ref> Brown et al. 2012 </a>,3.039577,5.5e-06,0.04,0.0008,11.43,0.7250000000000001,0.62,0.03,0.0,0.0,,,,,9.804,0.34,0.12,0.008,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5316.0,104.7,0.86,0.045,0.92,0.11,0.3,0.03,-0.269,0.013,4.53,0.07500000000000001,,,,,,,2018-02-01
HAT-P-29 b,26.0,16.0,,,2022A+A...664A.162M,2,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,5.72319,4.9e-05,,,13.115,1.457,0.88,0.25,0.09,0.05,,,,,11.74,1.02,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6087.0,88.0,1.3,0.14,1.45,0.6,0.21,0.21,,,4.34,0.06,,,,,,,2018-04-25
HAT-P-30 b,70.5,2.8499999999999996,,,2023A+A...674A.174C,2,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2.8106,5e-06,,,16.141,1.681,0.83,0.18,0.04,0.02,,,,,7.43,0.34,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6304.0,88.0,1.31,0.13,1.55,0.51,0.13,0.13,,,4.36,0.3,,,,,,,2018-04-25
HAT-P-32 b,85.0,1.5,,,2012ApJ...757...18A,2,1,0,<a refstr=WANG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...82W/abstract target=ref>Wang et al. 2019</a>,2.1500082,1.3e-07,0.03397,0.000505,22.194,0.504,0.68,0.10500000000000001,0.159,0.0395,1841.0,34.5,1835.7,6.85,5.344,0.0395,0.14886,0.0005499999999999999,<a refstr=WANG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...82W/abstract target=ref>Wang et al. 2019</a>,,6001.0,88.0,1.37,0.03,1.13,0.05,-0.16,0.08,0.338,0.0195,4.22,0.04,,,,,,,2019-07-08
HAT-P-33 b,5.9,4.1,,,2023A+A...669A..63B,2,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,3.47447,1e-06,,,20.737,5.492,0.92,0.5,0.0,0.0,,,,,6.57,0.18,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6446.0,88.0,1.79,0.48,1.82,1.45,0.05,0.05,,,4.15,0.01,,,,,,,2018-04-25
